modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Logística C=0.1,0.875,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.9,0.0,0.0,0.0,0.5,0.0
Logística balanceada,0.1,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Logística balanceada,0.125,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Logística balanceada,0.15,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Logística balanceada,0.175,0.4135327268039338,0.9999109369433559,0.5850900278812831,0.5013646248567221,99.83085125942269
Logística balanceada,0.2,0.4201532336813641,0.9963484146775917,0.5910603899191631,0.514708308923314,97.90770362198934
Logística balanceada,0.225,0.4270170158583169,0.9856608478802993,0.5958810068649886,0.527808816875579,95.30060672917816
Logística balanceada,0.25,0.43254952932372287,0.9780904880655504,0.5998306797389191,0.5378959987143058,93.35907335907336
Logística balanceada,0.275,0.43254952932372287,0.9780904880655504,0.5998306797389191,0.5378959987143058,93.35907335907336
Logística balanceada,0.3,0.433264887063655,0.9771998574991093,0.6003501860363318,0.5391729856794726,93.12005883434455
Logística balanceada,0.325,0.4375878831706239,0.970074812967581,0.6031174727982502,0.5466645123897215,91.52785438499724
Logística balanceada,0.35,0.44634636310370807,0.9498574991093695,0.6073116565115881,0.5606680869380379,87.86173929031071
Logística balanceada,0.375,0.4478146033909858,0.9362308514428215,0.6058440435709758,0.5622157576560258,86.31733774590917
Logística balanceada,0.4,0.4522273425499232,0.9177057356608479,0.6058859847705289,0.5680155157918444,83.78378378378379
