ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,nome_municipio,sigla_uf,nome_regiao,situacao_meta_2024,distancia_meta_2024_pp
2024,2701407,Municipal,67.45,67.86,70.13,Campo Alegre,AL,Nordeste,Abaixo da meta,-0.4099999999999966
2024,4101002,Municipal,70.06,67.87,70.15,Ampére,PR,Sul,Atingiu ou superou,2.1899999999999977
2024,5217609,Municipal,75.11,67.87,70.15,Planaltina,GO,Centro-Oeste,Atingiu ou superou,7.239999999999995
2024,2402402,Municipal,29.88,67.88,70.15,Carnaúba dos Dantas,RN,Nordeste,Abaixo da meta,-38.0
2024,4208104,Municipal,57.23,67.88,70.15,Itaiópolis,SC,Sul,Abaixo da meta,-10.649999999999999
2024,1508159,Municipal,60.84,67.88,70.15,Uruará,PA,Norte,Abaixo da meta,-7.039999999999992
2024,3108305,Municipal,81.21,67.91,70.17,Borda da Mata,MG,Sudeste,Atingiu ou superou,13.299999999999997
2024,3505005,Municipal,64.23,67.91,70.18,Barão de Antonina,SP,Sudeste,Abaixo da meta,-3.6799999999999926
2024,4312104,Municipal,45.5,67.91,70.18,Mata,RS,Sul,Abaixo da meta,-22.409999999999997
2024,3111606,Municipal,71.94,67.91,70.18,Campos Gerais,MG,Sudeste,Atingiu ou superou,4.030000000000001
2024,1720499,Municipal,46.24,67.92,70.19,São Valério,TO,Norte,Abaixo da meta,-21.68
2024,3304409,Municipal,65.54,67.93,70.19,Rio Claro,RJ,Sudeste,Abaixo da meta,-2.3900000000000006
2024,3130556,Municipal,88.46,67.94,70.2,Imbé de Minas,MG,Sudeste,Atingiu ou superou,20.519999999999996
2024,3305406,Municipal,65.37,67.94,70.2,Sapucaia,RJ,Sudeste,Abaixo da meta,-2.569999999999993
2024,5105606,Municipal,52.57,67.95,70.21,Matupá,MT,Centro-Oeste,Abaixo da meta,-15.380000000000003
2024,3545159,Municipal,64.45,67.95,70.21,Saltinho,SP,Sudeste,Abaixo da meta,-3.5
2024,3118809,Municipal,68.05,67.95,70.21,Coração de Jesus,MG,Sudeste,Atingiu ou superou,0.09999999999999432
2024,3545704,Municipal,58.21,67.95,70.21,Santa Albertina,SP,Sudeste,Abaixo da meta,-9.740000000000002
2024,4206751,Municipal,96.17,67.95,70.21,Ibiam,SC,Sul,Atingiu ou superou,28.22
2024,4213807,Municipal,69.36,67.96,70.21,Praia Grande,SC,Sul,Atingiu ou superou,1.4000000000000057
2024,1100304,Municipal,71.66,67.96,70.22,Vilhena,RO,Norte,Atingiu ou superou,3.700000000000003
2024,3162401,Municipal,63.51,67.96,70.22,São João da Ponte,MG,Sudeste,Abaixo da meta,-4.449999999999996
2024,3167608,Municipal,68.54,67.98,70.23,Simonésia,MG,Sudeste,Atingiu ou superou,0.5600000000000023
2024,4104451,Municipal,71.81,68.01,70.26,Cantagalo,PR,Sul,Atingiu ou superou,3.799999999999997
